#RPLIDAR SCAN DATA
#COUNT=495
#Angule	Distance	Quality
84.5453 740.0 188
84.8859 740.0 188
85.5615 740.0 188
85.9680 716.0 188
86.2921 716.0 188
86.6382 716.0 188
86.9843 716.0 188
87.3248 716.0 188
87.6544 716.0 188
87.9950 714.0 188
88.3411 714.0 188
88.6871 716.0 188
89.0277 716.0 188
89.3573 716.0 188
89.6979 716.0 188
90.0439 716.0 188
90.3900 718.0 188
90.7141 720.0 188
91.0602 722.0 188
91.3403 734.0 188
91.6864 738.0 188
92.0270 736.0 188
92.3730 738.0 188
92.7026 742.0 188
94.8724 1040.0 188
95.2185 1044.0 188
95.5426 1052.0 188
95.8887 1050.0 188
96.2292 1044.0 188
96.5753 1044.0 188
96.9049 1044.0 188
97.2455 1044.0 188
97.5916 1048.0 188
97.9321 1050.0 188
98.2782 1050.0 188
98.6078 1050.0 188
98.9484 1052.0 188
99.2944 1054.0 188
99.6405 1056.0 188
99.9646 1056.0 188
100.3107 1058.0 188
100.6512 1060.0 188
100.9973 1062.0 188
101.3269 1064.0 188
101.6675 1064.0 188
102.0135 1066.0 188
102.3541 1068.0 188
103.5461 924.0 188
103.8867 926.0 188
104.2163 928.0 188
104.5624 930.0 188
104.9030 932.0 188
105.2490 934.0 188
105.5731 934.0 188
105.9192 934.0 188
106.2653 938.0 188
106.6058 940.0 188
106.9519 942.0 188
107.6221 944.0 188
108.4186 1106.0 188
109.7809 1512.0 188
110.1215 1516.0 188
110.4675 1516.0 188
110.8081 1518.0 188
111.1377 1522.0 188
111.4838 1522.0 188
111.8243 1524.0 188
112.1704 1530.0 188
112.5110 1536.0 188
112.7966 1544.0 188
113.1372 1548.0 188
113.4668 1542.0 188
113.8733 1534.0 188
114.1534 1546.0 188
114.4995 1564.0 188
114.8401 1572.0 188
115.1697 1578.0 188
115.5103 1580.0 188
115.8563 1586.0 188
116.2024 1596.0 188
117.9053 1148.0 188
118.2294 1154.0 188
118.5754 1158.0 188
119.7180 1068.0 188
120.0586 1056.0 188
120.3882 1062.0 188
120.7343 1066.0 188
123.6401 1728.0 188
123.9807 1736.0 188
124.3268 1742.0 188
124.6509 1748.0 188
125.3430 1754.0 188
126.1230 1100.0 188
126.4636 1098.0 188
126.8097 1096.0 188
127.1558 1098.0 188
127.4963 1100.0 188
127.8259 1102.0 188
128.1665 1106.0 188
128.5126 1108.0 188
128.8586 1110.0 188
129.1992 1114.0 188
129.4794 1118.0 188
129.8254 1122.0 188
130.1550 1128.0 188
130.4956 1132.0 188
130.8417 1138.0 188
131.8085 1196.0 188
132.1545 1194.0 188
132.4841 1194.0 188
132.8247 1194.0 188
133.1708 1198.0 188
133.5114 1202.0 188
133.8574 1208.0 188
134.8737 1220.0 188
136.8567 1240.0 188
137.8894 1240.0 188
138.5156 1304.0 188
138.8562 1314.0 188
139.1858 1324.0 188
139.5264 1332.0 188
139.8724 1342.0 188
140.2185 1350.0 188
140.5591 1360.0 188
140.8392 1372.0 188
141.1853 1382.0 188
141.5149 1392.0 188
141.8555 1404.0 188
142.2015 1418.0 188
142.5421 1424.0 188
142.8882 1434.0 188
143.1683 1448.0 188
143.5144 1460.0 188
143.8385 1472.0 188
144.1846 1486.0 188
144.5306 1500.0 188
144.8712 1510.0 188
145.2173 1524.0 188
145.4974 1540.0 188
145.8270 1550.0 188
146.1676 1562.0 188
146.5137 1576.0 188
146.8433 1592.0 188
147.1838 1608.0 188
147.5299 1622.0 188
147.8540 1638.0 188
148.1561 1654.0 188
148.4802 1670.0 188
148.8263 1654.0 188
149.4965 1698.0 188
149.8425 1684.0 188
150.1831 1676.0 188
150.5127 1670.0 188
150.8588 1664.0 188
151.1993 1658.0 188
151.5289 1656.0 188
151.8750 1650.0 188
152.2156 1644.0 188
152.5452 1640.0 188
152.9517 1634.0 188
153.2813 1628.0 188
153.6218 1622.0 188
153.9679 1618.0 188
154.2920 1614.0 188
154.6381 1610.0 188
154.9841 1608.0 188
155.3247 1604.0 188
