#RPLIDAR SCAN DATA
#COUNT=876
#Angule	Distance	Quality
34.2499 682.0 188
34.4971 686.0 188
34.8541 680.0 188
35.1563 676.0 188
35.4529 672.0 188
35.7605 670.0 188
36.0571 666.0 188
36.4197 662.0 188
36.7328 660.0 188
37.0294 658.0 188
37.3260 658.0 188
37.6392 656.0 188
37.9358 654.0 188
38.2324 654.0 188
38.5455 654.0 188
38.8422 652.0 188
39.1553 652.0 188
39.4519 652.0 188
39.7485 650.0 188
40.0616 650.0 188
40.3583 650.0 188
40.6549 648.0 188
40.9680 648.0 188
41.2646 648.0 188
41.5778 648.0 188
41.9183 646.0 188
42.2314 646.0 188
42.5281 646.0 188
42.8412 646.0 188
43.1378 644.0 188
43.4344 644.0 188
43.7476 644.0 188
44.0442 644.0 188
44.3408 642.0 188
44.6539 642.0 188
44.9506 642.0 188
45.2637 642.0 188
45.5603 644.0 188
45.8569 642.0 188
46.1700 642.0 188
46.4667 642.0 188
46.7798 642.0 188
47.0764 642.0 188
47.3730 640.0 188
47.6862 640.0 188
47.9828 640.0 188
48.2959 640.0 188
48.5925 640.0 188
48.8892 640.0 188
49.2023 640.0 188
49.4989 640.0 188
49.8120 640.0 188
50.1086 640.0 188
50.4053 640.0 188
50.7184 640.0 188
51.0150 640.0 188
51.3281 640.0 188
51.6248 640.0 188
51.9214 640.0 188
52.2290 642.0 188
52.5311 640.0 188
52.8278 640.0 188
53.1354 640.0 188
53.4375 642.0 188
53.7451 642.0 188
54.0417 642.0 188
54.3384 642.0 188
54.6515 642.0 188
54.9481 642.0 188
55.2612 642.0 188
55.5579 644.0 188
55.8545 644.0 188
56.1676 644.0 188
56.4642 644.0 188
56.7773 644.0 188
57.0740 644.0 188
57.3706 644.0 188
57.6837 644.0 188
57.9803 646.0 188
58.2935 646.0 188
58.5901 646.0 188
58.8867 646.0 188
59.1394 648.0 188
59.4525 648.0 188
59.7491 648.0 188
60.0458 648.0 188
60.3589 650.0 188
60.6555 652.0 188
60.9686 652.0 188
61.2653 652.0 188
61.5619 652.0 188
61.8750 652.0 188
62.1716 654.0 188
62.4792 654.0 188
62.7759 654.0 188
63.0780 656.0 188
63.3856 656.0 188
63.6823 658.0 188
63.9954 658.0 188
64.2920 660.0 188
64.5886 660.0 188
64.9017 660.0 188
65.1984 662.0 188
65.5115 662.0 188
65.8081 664.0 188
66.1047 664.0 188
66.3574 666.0 188
66.6705 666.0 188
66.9672 668.0 188
67.2638 668.0 188
67.5769 670.0 188
67.8735 670.0 188
68.1866 672.0 188
68.4833 672.0 188
68.7799 674.0 188
69.0930 674.0 188
69.3896 676.0 188
69.6863 678.0 188
69.9994 680.0 188
70.2960 680.0 188
70.6091 680.0 188
70.8398 684.0 188
71.1530 684.0 188
71.4496 684.0 188
71.7627 686.0 188
72.0593 688.0 188
72.3560 690.0 188
72.6691 690.0 188
72.9657 692.0 188
73.2788 694.0 188
73.5754 694.0 188
73.8721 698.0 188
74.1852 698.0 188
74.4818 700.0 188
74.7949 702.0 188
75.0311 704.0 188
75.3387 706.0 188
75.6354 706.0 188
75.9375 708.0 188
76.2451 710.0 188
76.5417 712.0 188
76.8384 714.0 188
77.1515 716.0 188
77.4481 718.0 188
77.7448 720.0 188
78.0469 722.0 188
78.2941 724.0 188
78.6072 726.0 188
78.9038 728.0 188
79.2004 730.0 188
79.5135 732.0 188
79.8102 734.0 188
80.1068 736.0 188
80.4034 740.0 188
80.7166 742.0 188
81.0132 742.0 188
81.2604 746.0 188
81.5625 748.0 188
81.8701 750.0 188
82.1667 752.0 188
82.4634 754.0 188
82.7655 758.0 188
83.0731 760.0 188
83.3698 762.0 188
83.6719 764.0 188
83.9795 768.0 188
84.2157 770.0 188
84.5288 774.0 188
84.8254 776.0 188
85.1221 780.0 188
85.4352 782.0 188
85.7318 784.0 188
86.0284 786.0 188
86.3416 790.0 188
86.5778 794.0 188
86.8854 796.0 188
87.1875 798.0 188
87.4841 802.0 188
87.7917 806.0 188
88.0884 808.0 188
88.3905 812.0 188
88.6981 816.0 188
88.9343 820.0 188
89.2474 822.0 188
89.5441 826.0 188
89.8407 830.0 188
90.1538 834.0 188
90.4504 838.0 188
90.7471 840.0 188
91.0602 844.0 188
91.2964 848.0 188
91.6040 852.0 188
91.9061 856.0 188
92.2028 860.0 188
92.5104 864.0 188
92.8125 868.0 188
93.1091 872.0 188
93.4167 876.0 188
93.7134 878.0 188
93.9661 884.0 188
94.2627 888.0 188
94.5593 892.0 188
94.8724 898.0 188
95.1691 902.0 188
95.4657 906.0 188
95.7788 910.0 188
96.0150 916.0 188
96.3281 920.0 188
96.6248 926.0 188
96.9214 930.0 188
97.2290 936.0 188
97.5311 940.0 188
97.7783 946.0 188
98.0750 950.0 188
98.3716 958.0 188
98.6847 962.0 188
98.9813 966.0 188
99.2780 974.0 188
99.5911 978.0 188
99.8438 984.0 188
100.1404 990.0 188
100.4370 998.0 188
100.7336 1004.0 188
101.0468 1010.0 188
101.3434 1016.0 188
101.6400 1022.0 188
101.8872 1028.0 188
102.2003 1036.0 188
102.4969 1042.0 188
102.7936 1050.0 188
103.0902 1056.0 188
103.4033 1062.0 188
103.6395 1070.0 188
103.9362 1078.0 188
104.2493 1084.0 188
104.5459 1092.0 188
104.8425 1102.0 188
105.1392 1108.0 188
105.4523 1114.0 188
105.6830 1122.0 188
105.9796 1130.0 188
106.2927 1142.0 188
106.5894 1150.0 188
106.8860 1158.0 188
107.1826 1168.0 188
107.4353 1178.0 188
107.7319 1186.0 188
108.0286 1194.0 188
108.3417 1202.0 188
108.6383 1214.0 188
108.9349 1224.0 188
109.4843 1232.0 188
110.6378 846.0 188
110.9344 832.0 188
111.2476 820.0 188
111.5936 814.0 188
111.9012 806.0 188
112.1979 800.0 188
112.5000 798.0 188
112.7966 794.0 188
113.1537 792.0 188
113.4503 788.0 188
113.7469 786.0 188
114.0601 784.0 188
114.3567 782.0 188
114.6533 782.0 188
114.9500 780.0 188
115.2631 778.0 188
115.5597 778.0 188
115.8563 778.0 188
116.1530 776.0 188
116.4496 776.0 188
116.7627 776.0 188
117.0593 776.0 188
117.3560 776.0 188
117.6526 776.0 188
117.9492 776.0 188
118.2623 776.0 188
118.5590 778.0 188
118.8556 780.0 188
119.1522 782.0 188
119.4653 788.0 188
119.7015 796.0 188
119.9982 804.0 188
120.3113 814.0 188
120.5420 824.0 188
120.8551 836.0 188
121.1517 846.0 188
121.7010 858.0 188
122.4207 968.0 188
122.7338 962.0 188
123.0304 960.0 188
123.3270 958.0 188
123.6237 954.0 188
123.9368 952.0 188
124.2334 952.0 188
124.5300 950.0 188
124.8267 946.0 188
125.1233 946.0 188
125.4803 944.0 188
125.7770 942.0 188
126.0901 942.0 188
126.3867 940.0 188
126.6833 940.0 188
126.9800 940.0 188
127.2931 940.0 188
127.5897 940.0 188
127.8864 940.0 188
128.1830 942.0 188
128.4796 942.0 188
128.7927 944.0 188
129.0894 944.0 188
129.3860 944.0 188
129.6387 946.0 188
129.9353 946.0 188
130.2319 948.0 188
130.5286 948.0 188
130.8417 950.0 188
131.1383 952.0 188
131.4349 952.0 188
131.7316 954.0 188
132.0447 958.0 188
132.3413 964.0 188
132.6379 980.0 188
133.1873 1002.0 188
134.1980 2396.0 188
134.4946 2392.0 188
134.8077 2384.0 188
135.1044 2384.0 188
135.4010 2388.0 188
135.7031 2380.0 188
136.0107 2380.0 188
136.3074 2388.0 188
136.6040 2392.0 188
136.9061 2392.0 188
137.2137 2420.0 188
137.5104 2452.0 188
137.8125 2456.0 188
138.1091 2456.0 188
138.6530 2520.0 188
138.9496 2504.0 188
139.2627 2488.0 188
139.5593 2488.0 188
140.1086 3028.0 188
140.4053 3028.0 188
140.7019 3028.0 188
141.0150 3028.0 188
141.3116 3024.0 188
141.6083 3028.0 188
141.9049 3028.0 188
142.2180 3024.0 188
142.5146 3028.0 188
142.8113 3028.0 188
143.1079 3028.0 188
143.4045 3032.0 188
143.7177 3032.0 188
144.0143 3028.0 188
144.3109 3028.0 188
144.6075 3028.0 188
144.9207 3048.0 188
145.1514 3076.0 188
145.4645 3084.0 188
145.7611 3084.0 188
146.0577 3088.0 188
146.3544 3088.0 188
146.6675 3092.0 188
146.9641 3092.0 188
147.2607 3096.0 188
147.5574 3096.0 188
148.3868 2080.0 188
148.6835 2080.0 188
148.9966 2080.0 188
149.2932 2084.0 188
149.5898 2080.0 188
149.8865 2072.0 188
150.1831 2072.0 188
150.4962 2072.0 188
150.7928 2076.0 188
151.0895 2076.0 188
151.3861 2076.0 188
151.6992 2072.0 188
151.9958 2072.0 188
152.2925 2076.0 188
152.5891 2076.0 188
152.9022 2076.0 188
153.1989 2076.0 188
153.4955 2076.0 188
153.7921 2080.0 188
154.1052 2084.0 188
154.4019 2088.0 188
154.6985 2096.0 188
154.9951 2096.0 188
155.3082 2100.0 188
155.6049 2104.0 188
155.9015 2104.0 188
156.1981 2108.0 188
156.4948 2108.0 188
156.8079 2112.0 188
157.1045 2116.0 188
157.4011 2124.0 188
157.6978 2128.0 188
158.0109 2128.0 188
158.3075 2132.0 188
158.6041 2136.0 188
158.9063 2140.0 188
159.2139 2144.0 188
159.5105 2152.0 188
159.8071 2152.0 188
160.1093 2160.0 188
160.4169 2168.0 188
160.7135 2176.0 188
161.0156 2176.0 188
161.3123 2180.0 188
161.6199 2188.0 188
161.9165 2188.0 188
162.2186 2192.0 188
162.5262 2196.0 188
162.8229 2200.0 188
