#RPLIDAR SCAN DATA
#COUNT=495
#Angule	Distance	Quality
84.4519 740.0 188
84.7760 740.0 188
85.4681 740.0 188
85.8746 716.0 188
86.1987 716.0 188
86.5448 716.0 188
86.8854 716.0 188
87.2314 716.0 188
87.5775 716.0 188
87.9016 716.0 188
88.2477 716.0 188
88.5938 714.0 188
88.9343 716.0 188
89.2804 716.0 188
89.6210 716.0 188
89.9506 716.0 188
90.2966 718.0 188
90.6372 722.0 188
90.9174 724.0 188
91.2634 734.0 188
91.6040 738.0 188
91.9501 736.0 188
92.2961 736.0 188
92.6202 742.0 188
93.5925 746.0 188
94.7955 1038.0 188
95.1361 1044.0 188
95.4822 1052.0 188
95.8228 1056.0 188
96.1523 1046.0 188
96.4984 1042.0 188
96.8390 1044.0 188
97.1851 1044.0 188
97.5311 1046.0 188
97.8717 1050.0 188
98.2013 1050.0 188
98.5419 1052.0 188
98.8879 1052.0 188
99.2340 1054.0 188
99.5746 1056.0 188
99.9042 1056.0 188
100.2448 1058.0 188
100.5908 1060.0 188
100.9369 1062.0 188
101.2775 1064.0 188
101.6235 1064.0 188
101.9531 1066.0 188
102.2498 1070.0 188
103.4802 924.0 188
103.8263 926.0 188
104.1669 928.0 188
104.5129 930.0 188
104.8590 932.0 188
105.1996 934.0 188
105.5292 934.0 188
105.8698 934.0 188
106.2158 936.0 188
106.5619 940.0 188
106.9025 940.0 188
107.5781 944.0 188
108.0450 1100.0 188
108.3746 1104.0 188
109.7479 1514.0 188
110.0885 1516.0 188
110.4346 1518.0 188
110.7806 1518.0 188
111.1047 1522.0 188
111.4508 1524.0 188
111.7969 1526.0 188
112.1375 1528.0 188
112.4835 1536.0 188
112.7637 1544.0 188
113.1042 1548.0 188
113.4503 1542.0 188
113.8403 1532.0 188
114.1205 1542.0 188
114.4666 1560.0 188
114.8071 1572.0 188
115.1532 1576.0 188
115.4993 1580.0 188
115.8398 1584.0 188
116.1694 1594.0 188
117.8723 1148.0 188
118.2184 1154.0 188
118.5590 1158.0 188
119.7015 1068.0 188
