#RPLIDAR SCAN DATA
#COUNT=500
#Angule	Distance	Quality
84.2157 740.0 188
84.5618 740.0 188
84.9023 740.0 188
85.2319 734.0 188
85.6384 722.0 188
85.9790 714.0 188
86.3251 714.0 188
86.6711 716.0 188
87.0117 716.0 188
87.3578 716.0 188
87.6984 714.0 188
88.0444 716.0 188
88.3740 718.0 188
88.7146 716.0 188
89.0607 716.0 188
89.4012 716.0 188
89.7473 716.0 188
90.0934 716.0 188
90.4340 716.0 188
90.7800 716.0 188
91.0602 726.0 188
91.4063 736.0 188
91.7468 738.0 188
92.0929 736.0 188
92.4335 738.0 188
93.4662 742.0 188
94.9658 1044.0 188
95.3119 1044.0 188
95.6525 1056.0 188
95.9985 1050.0 188
96.3391 1036.0 188
96.6687 1040.0 188
97.0148 1044.0 188
97.3553 1048.0 188
97.7014 1048.0 188
98.0420 1048.0 188
98.3881 1048.0 188
98.7341 1050.0 188
99.0747 1052.0 188
99.4208 1054.0 188
99.7614 1056.0 188
100.1074 1058.0 188
100.4480 1060.0 188
100.7941 1062.0 188
101.1401 1062.0 188
101.4807 1064.0 188
101.8268 1066.0 188
102.1509 1066.0 188
103.7000 924.0 188
104.0460 928.0 188
104.3866 930.0 188
104.7327 932.0 188
105.0732 934.0 188
105.4193 934.0 188
105.7489 934.0 188
106.0895 936.0 188
106.4355 940.0 188
106.7761 940.0 188
107.4683 944.0 188
108.2648 1102.0 188
109.2810 1106.0 188
109.9677 1514.0 188
110.3082 1516.0 188
110.6543 1518.0 188
110.9949 1520.0 188
111.3409 1522.0 188
111.6705 1526.0 188
112.0111 1528.0 188
112.3572 1532.0 188
112.6373 1540.0 188
112.9834 1546.0 188
113.3240 1540.0 188
113.7140 1534.0 188
114.0106 1538.0 188
114.3567 1552.0 188
114.6863 1566.0 188
115.0269 1574.0 188
115.3729 1580.0 188
115.7135 1582.0 188
116.0596 1588.0 188
117.7625 1150.0 188
118.0920 1152.0 188
118.4326 1156.0 188
120.2618 1058.0 188
120.5914 1064.0 188
121.6241 1068.0 188
122.0142 1022.0 188
122.3108 1026.0 188
122.6404 1028.0 188
122.9810 1032.0 188
123.3270 1036.0 188
123.6676 1040.0 188
124.0137 1044.0 188
124.3542 1048.0 188
124.6838 1054.0 188
125.0299 1058.0 188
125.3705 1062.0 188
125.7166 1066.0 188
125.9967 1070.0 188
126.3428 1076.0 188
126.6833 1080.0 188
