#RPLIDAR SCAN DATA
#COUNT=893
#Angule	Distance	Quality
34.1840 686.0 188
34.4806 684.0 188
34.8431 680.0 188
35.1398 676.0 188
35.4364 672.0 188
35.7495 668.0 188
36.0461 666.0 188
36.4032 662.0 188
36.6998 660.0 188
36.9965 658.0 188
37.2931 656.0 188
37.6062 656.0 188
37.9028 656.0 188
38.1995 654.0 188
38.4961 654.0 188
38.7927 654.0 188
39.1058 652.0 188
39.4025 652.0 188
39.6991 650.0 188
39.9957 650.0 188
40.3088 650.0 188
40.6055 650.0 188
40.9021 648.0 188
41.1987 648.0 188
41.4954 648.0 188
41.8085 648.0 188
42.1545 646.0 188
42.4677 646.0 188
42.7643 646.0 188
43.0609 646.0 188
43.3575 644.0 188
43.6707 644.0 188
43.9673 644.0 188
44.2639 644.0 188
44.5605 644.0 188
44.8572 642.0 188
45.1703 644.0 188
45.4669 642.0 188
45.7635 642.0 188
46.0602 642.0 188
46.3733 642.0 188
46.6699 642.0 188
46.9666 642.0 188
47.2632 642.0 188
47.5598 642.0 188
47.8729 642.0 188
48.1696 640.0 188
48.4662 642.0 188
48.7628 642.0 188
49.0594 640.0 188
49.3726 640.0 188
49.6692 640.0 188
49.9658 640.0 188
50.2625 640.0 188
50.5756 640.0 188
50.8722 640.0 188
51.1688 640.0 188
51.4655 640.0 188
51.7621 640.0 188
52.0752 642.0 188
52.3718 640.0 188
52.6685 640.0 188
52.9651 642.0 188
53.2782 642.0 188
53.5748 642.0 188
53.8715 640.0 188
54.1681 642.0 188
54.4647 642.0 188
54.7778 642.0 188
55.0745 642.0 188
55.3711 642.0 188
55.6677 644.0 188
55.9808 644.0 188
56.2775 644.0 188
56.5741 644.0 188
56.8707 644.0 188
57.1674 644.0 188
57.4805 644.0 188
57.7771 646.0 188
58.0737 646.0 188
58.3704 646.0 188
58.6670 646.0 188
58.9032 648.0 188
59.1998 648.0 188
59.4965 648.0 188
59.8096 650.0 188
60.1062 650.0 188
60.4028 650.0 188
60.6995 650.0 188
60.9961 652.0 188
61.2927 652.0 188
61.5894 652.0 188
61.8860 652.0 188
62.1826 654.0 188
62.4792 654.0 188
62.7759 656.0 188
63.0780 656.0 188
63.3746 656.0 188
63.6713 658.0 188
63.9679 658.0 188
64.2645 660.0 188
64.5776 660.0 188
64.8743 660.0 188
65.1709 662.0 188
65.4675 662.0 188
65.7642 664.0 188
65.9949 666.0 188
66.2915 666.0 188
66.5936 666.0 188
66.8903 668.0 188
67.1979 668.0 188
67.5000 670.0 188
67.7966 670.0 188
68.0933 672.0 188
68.3899 674.0 188
68.6865 674.0 188
68.9832 676.0 188
69.2798 676.0 188
69.5764 678.0 188
69.8730 678.0 188
70.1697 680.0 188
70.4663 682.0 188
70.7629 682.0 188
71.0156 684.0 188
71.3123 686.0 188
71.6089 686.0 188
71.9055 688.0 188
72.2021 688.0 188
72.4988 690.0 188
72.7954 692.0 188
73.0920 694.0 188
73.3887 696.0 188
73.6853 698.0 188
73.9819 698.0 188
74.2786 700.0 188
74.5752 702.0 188
74.8279 704.0 188
75.1245 704.0 188
75.4211 706.0 188
75.7178 708.0 188
76.0144 710.0 188
76.3110 712.0 188
76.6077 712.0 188
76.9043 716.0 188
77.2009 718.0 188
77.5140 718.0 188
77.8107 722.0 188
78.0469 724.0 188
78.3435 724.0 188
78.6401 726.0 188
78.9368 730.0 188
79.2334 732.0 188
79.5300 732.0 188
79.8267 734.0 188
80.1398 736.0 188
80.4364 738.0 188
80.7330 742.0 188
81.0297 744.0 188
81.2604 746.0 188
81.5625 748.0 188
81.8591 750.0 188
82.1558 754.0 188
82.4524 756.0 188
82.7490 758.0 188
83.0621 762.0 188
83.3588 764.0 188
83.6554 766.0 188
83.9520 768.0 188
84.1827 772.0 188
84.4794 774.0 188
84.7760 776.0 188
85.0781 778.0 188
85.3748 782.0 188
85.6824 784.0 188
85.9790 786.0 188
86.2811 790.0 188
86.5118 794.0 188
86.8085 796.0 188
87.1051 800.0 188
87.4017 804.0 188
87.6984 806.0 188
87.9950 810.0 188
88.2916 812.0 188
88.5938 816.0 188
88.8409 820.0 188
89.1376 822.0 188
89.4342 826.0 188
89.7308 830.0 188
90.0275 832.0 188
90.3241 836.0 188
90.6207 840.0 188
90.9174 842.0 188
91.2140 846.0 188
91.7468 852.0 188
92.7795 594.0 188
93.0762 590.0 188
93.4332 582.0 188
94.1364 550.0 188
94.4989 540.0 188
94.8395 530.0 188
95.2020 518.0 188
95.5426 506.0 188
95.9052 499.0 188
96.2018 495.0 188
96.4984 492.0 188
96.8555 490.0 188
97.1521 489.0 188
97.4487 487.0 188
97.7454 485.0 188
98.0420 484.0 188
98.3386 483.0 188
98.6847 481.0 188
98.9813 480.0 188
99.2944 479.0 188
99.5911 477.0 188
99.8877 476.0 188
100.1843 475.0 188
100.4810 474.0 188
100.7776 473.0 188
101.1237 472.0 188
101.4203 471.0 188
101.7169 470.0 188
102.0135 468.0 188
102.3102 466.0 188
102.6068 465.0 188
102.9034 465.0 188
103.2166 464.0 188
103.5571 463.0 188
103.8593 463.0 188
104.1559 462.0 188
104.4525 462.0 188
104.7491 461.0 188
105.0458 461.0 188
105.3424 460.0 188
105.6390 460.0 188
105.9357 460.0 188
106.2323 460.0 188
106.5289 460.0 188
106.8256 460.0 188
107.1387 460.0 188
107.4353 461.0 188
107.7319 461.0 188
108.0286 462.0 188
108.3252 463.0 188
108.5614 464.0 188
108.8580 464.0 188
109.1547 465.0 188
109.4513 466.0 188
109.7479 467.0 188
110.0446 468.0 188
110.3412 469.0 188
110.6378 470.0 188
110.9344 471.0 188
111.2311 472.0 188
111.4838 473.0 188
111.7804 474.0 188
112.0770 475.0 188
112.3737 476.0 188
112.6703 478.0 188
112.9669 479.0 188
113.2635 481.0 188
113.5602 482.0 188
113.7964 483.0 188
114.1040 485.0 188
114.4061 488.0 188
114.6368 496.0 188
115.1697 508.0 188
115.7465 654.0 188
116.0431 656.0 188
116.3562 658.0 188
116.6528 662.0 188
116.9495 664.0 188
117.1857 666.0 188
117.4823 670.0 188
117.7789 670.0 188
118.0920 672.0 188
118.3887 676.0 188
118.6853 678.0 188
118.9819 682.0 188
119.2181 686.0 188
119.5148 690.0 188
119.8279 696.0 188
120.1245 700.0 188
120.3552 706.0 188
120.6519 712.0 188
121.5582 720.0 188
122.3547 2100.0 188
122.6514 2128.0 188
122.9480 2172.0 188
123.2446 2204.0 188
123.5468 2232.0 188
123.7939 2276.0 188
124.0906 2312.0 188
124.3872 2348.0 188
124.6838 2388.0 188
124.9805 2424.0 188
125.2332 2476.0 188
125.5298 2528.0 188
125.8264 2572.0 188
126.1230 2624.0 188
126.4197 2680.0 188
126.6559 2736.0 188
126.9635 2804.0 188
127.2656 2864.0 188
127.5623 2920.0 188
128.2654 2424.0 188
128.5620 2424.0 188
128.8586 2420.0 188
129.1553 2416.0 188
129.4519 2412.0 188
129.7650 2408.0 188
130.0616 2408.0 188
130.3583 2404.0 188
130.6549 2400.0 188
130.9515 2400.0 188
131.2482 2396.0 188
131.5448 2404.0 188
131.8414 2408.0 188
132.1381 2396.0 188
132.4347 2400.0 188
132.7478 2400.0 188
133.0444 2400.0 188
133.3411 2392.0 188
133.6377 2384.0 188
133.9343 2392.0 188
134.2310 2400.0 188
134.5276 2392.0 188
134.8242 2384.0 188
135.1208 2388.0 188
135.4175 2392.0 188
135.7141 2380.0 188
136.0272 2380.0 188
136.3239 2388.0 188
136.6205 2392.0 188
136.9171 2392.0 188
137.2137 2420.0 188
137.5104 2456.0 188
137.7631 2464.0 188
138.0597 2464.0 188
138.3563 2488.0 188
138.6530 2508.0 188
138.9496 2508.0 188
139.8395 2492.0 188
140.3888 3028.0 188
140.6854 3032.0 188
140.9821 3032.0 188
141.2787 3028.0 188
141.5753 3024.0 188
141.8719 3028.0 188
142.1686 3032.0 188
142.4652 3032.0 188
142.7618 3028.0 188
143.0585 3024.0 188
143.3551 3032.0 188
143.6517 3032.0 188
143.9484 3032.0 188
144.2450 3036.0 188
144.5416 3032.0 188
144.8547 3040.0 188
145.1514 3068.0 188
145.3876 3084.0 188
145.6842 3088.0 188
145.9808 3092.0 188
146.2775 3092.0 188
146.5741 3096.0 188
146.8707 3096.0 188
147.1674 3092.0 188
147.7606 3092.0 188
148.2935 2080.0 188
148.5901 2080.0 188
148.8867 2080.0 188
149.1833 2084.0 188
149.4800 2080.0 188
149.7766 2076.0 188
150.0732 2072.0 188
150.3699 2076.0 188
150.6665 2072.0 188
150.9686 2076.0 188
151.2653 2076.0 188
151.5619 2076.0 188
151.8585 2076.0 188
152.1552 2072.0 188
152.4518 2076.0 188
152.7484 2076.0 188
153.0450 2076.0 188
153.3417 2076.0 188
153.6383 2076.0 188
153.9349 2080.0 188
154.2316 2088.0 188
154.5282 2092.0 188
154.8248 2096.0 188
155.1215 2100.0 188
155.4181 2104.0 188
155.7147 2108.0 188
156.0114 2108.0 188
156.3080 2108.0 188
156.6046 2112.0 188
156.9177 2116.0 188
157.2144 2120.0 188
157.5110 2120.0 188
157.8076 2124.0 188
158.1042 2128.0 188
158.4009 2136.0 188
158.7030 2136.0 188
158.9996 2140.0 188
159.2963 2148.0 188
159.5929 2152.0 188
159.8895 2156.0 188
160.1862 2164.0 188
160.4828 2168.0 188
160.7794 2176.0 188
161.0760 2180.0 188
161.3727 2180.0 188
161.6693 2188.0 188
161.9659 2192.0 188
162.2626 2196.0 188
162.5592 2196.0 188
162.8558 2200.0 188
163.1525 2204.0 188
163.4491 2208.0 188
163.7457 2216.0 188
164.0424 2224.0 188
164.2950 2236.0 188
164.5917 2244.0 188
164.8883 2252.0 188
165.1849 2256.0 188
165.4816 2264.0 188
165.7782 2268.0 188
166.0748 2280.0 188
166.3715 2296.0 188
166.6681 2308.0 188
166.9647 2316.0 188
167.2614 2324.0 188
167.5580 2332.0 188
167.8546 2344.0 188
168.1512 2360.0 188
168.4479 2368.0 188
168.7500 2376.0 188
169.0466 2380.0 188
169.3433 2384.0 188
169.6399 2388.0 188
170.2332 2392.0 188
171.1560 1156.0 188
171.4526 1168.0 188
171.6833 1172.0 188
171.9800 1176.0 188
172.2766 1182.0 188
172.5732 1188.0 188
172.8699 1190.0 188
173.1665 1190.0 188
173.4686 1194.0 188
173.7653 1198.0 188
174.0619 1204.0 188
174.3750 1208.0 188
174.6716 1210.0 188
174.9683 1214.0 188
175.2649 1220.0 188
175.5615 1222.0 188
175.8582 1228.0 188
176.0889 1234.0 188
176.3855 1238.0 188
176.6821 1240.0 188
176.9843 1246.0 188
177.2809 1246.0 188
177.5775 1250.0 188
177.8741 1258.0 188
178.1708 1262.0 188
178.4674 1270.0 188
178.7640 1276.0 188
179.0607 1280.0 188
179.3573 1284.0 188
179.6704 1288.0 188
179.9670 1292.0 188
180.1978 1296.0 188
180.4999 1302.0 188
180.7965 1310.0 188
181.0931 1318.0 188
181.3898 1320.0 188
181.6864 1326.0 188
181.9830 1334.0 188
182.2797 1338.0 188
182.5763 1342.0 188
182.8729 1350.0 188
183.1696 1358.0 188
183.4662 1366.0 188
183.7134 1372.0 188
184.0155 1376.0 188
184.3121 1380.0 188
184.6088 1386.0 188
184.9054 1396.0 188
185.2020 1404.0 188
185.4987 1410.0 188
185.7953 1416.0 188
186.0919 1424.0 188
186.3885 1430.0 188
186.6852 1438.0 188
186.9818 1444.0 188
187.2290 1452.0 188
187.5311 1460.0 188
188.4210 1468.0 188
188.7177 1472.0 188
189.0143 1464.0 188
189.3109 1452.0 188
189.6515 1446.0 188
189.9481 1440.0 188
190.2448 1434.0 188
190.5579 1428.0 188
190.8545 1420.0 188
191.1511 1414.0 188
191.4478 1410.0 188
191.7499 1406.0 188
192.0465 1398.0 188
192.3431 1392.0 188
192.6398 1384.0 188
192.9364 1376.0 188
193.2330 1372.0 188
193.5736 1366.0 188
193.8702 1364.0 188
194.1669 1360.0 188
194.4635 1348.0 188
194.7766 1342.0 188
195.0732 1340.0 188
195.3699 1336.0 188
195.6665 1332.0 188
195.9686 1326.0 188
196.2653 1324.0 188
196.5619 1318.0 188
196.8585 1310.0 188
197.1552 1306.0 188
197.4518 1300.0 188
197.7484 1296.0 188
198.0890 1292.0 188
198.3856 1288.0 188
198.6987 1284.0 188
198.9954 1280.0 188
199.2920 1278.0 188
199.5886 1274.0 188
199.8853 1268.0 188
200.1874 1260.0 188
200.4840 1256.0 188
200.7806 1254.0 188
201.0773 1250.0 188
201.3739 1246.0 188
201.6705 1244.0 188
201.9836 1240.0 188
202.2803 1234.0 188
202.5769 1232.0 188
202.9175 1228.0 188
203.2141 1224.0 188
203.5272 1218.0 188
203.8239 1216.0 188
204.1205 1214.0 188
204.4171 1210.0 188
204.7137 1208.0 188
205.0104 1204.0 188
205.3125 1208.0 188
205.6091 1212.0 188
206.7462 6808.0 188
207.3395 6776.0 188
207.6361 6792.0 188
207.9492 6832.0 188
208.2458 6856.0 188
210.0311 8144.0 188
210.8716 8680.0 188
211.1682 8888.0 188
211.7615 9896.0 188
213.8544 11720.0 188
214.4531 11728.0 188
214.7498 11584.0 188
215.3540 11696.0 188
215.6561 12144.0 188
215.9528 12256.0 188
216.1835 12352.0 188
216.4801 12400.0 188
216.7932 12376.0 188
217.0898 12312.0 188
218.0457 11704.0 188
218.3423 10664.0 188
218.6389 10608.0 188
218.9355 10520.0 188
221.5118 762.0 188
221.8085 754.0 188
222.1051 748.0 188
222.4512 744.0 188
222.7643 740.0 188
223.0609 738.0 188
223.3575 734.0 188
223.6542 732.0 188
223.9508 730.0 188
224.2474 726.0 188
224.5441 726.0 188
224.8407 724.0 188
225.1978 722.0 188
225.4999 722.0 188
225.7965 722.0 188
226.0437 724.0 188
226.3403 726.0 188
226.6370 726.0 188
226.9336 724.0 188
227.2302 726.0 188
227.5269 726.0 188
227.8235 726.0 188
228.1201 726.0 188
228.4332 728.0 188
228.7299 730.0 188
229.0265 732.0 188
229.3231 736.0 188
